hurufKecil_fullText,cleaning_stemmed,sentiment
udah pelanggar ham tua... tapi masih aja belum meninggal karena usia,udah langgar ham tua aja tinggal usia,neutral
ada ya orang bangga ngamuk karena kalah debat? istana dan prabowo direpresentasiin manusia macam ini pantas demokrasi makin hancur gagasan dilawan dengan pukulan otak dihantam pake otot https://t.co/pyc06wte5g,orang bangga ngamuk kalah debat istana prabowo direpresentasiin manusia macam pantas demokrasi makin hancur gagas lawan pukul otak hantam pake otot,negative
beda mulyono dan prabowo.. semakin mau lengser semakin tidak beradab.. https://t.co/odfs8qzvyn,beda mulyono prabowo makin mau lengser makin adab,negative
kabinet baru prabowo subianto ahy yakin akan diisi oleh orang-oran yang punya kapasitas dan integritas https://t.co/mbjc1cf94y,kabinet baru prabowo subianto ahy yakin isi orangoran punya kapasitas integritas,neutral
beredar kabar anies baswedan masuk kabinet prabowo-gibran gimana... setuju atau tidak nih anak2 abah? sumber: https://t.co/ngkfkzpciy https://t.co/d7pmtnddhp,edar kabar anies baswedan masuk kabinet prabowogibran gimana tuju nih anak abah sumber,negative
keinginan presiden terpilih prabowo subianto utk mengajak semua kalangan terutama dari parpol utk bersatu bersama2 membangun negeri sering kali mendapat kecamatan dan kritikan. ketakutan akan demokrasi yang tidak berjalan krn tidak ada oposisi sebagai penyeimbang selalu menjadi https://t.co/t8m8em7nrt,ingin presiden pilih prabowo subianto utk ajak semua kalang utama parpol utk satu sama bangun negeri sering kali dapat camat kritik takut demokrasi jalan krn oposisi imbang selalu jadi,positive
melakukan perjalanan ke jawa tengah mas ketum kaesang meresmikan kantor dpd psi brebes dalam kegiatan tersebut mas ketum mengatakan psi akan selalu mendukung pemerintahan prabowo subianto dan minta kader psi brebes menangkan paslon gubernur dan cawagub nomor dua ahmad https://t.co/v81i7qqyfy,laku jalan jawa tengah mas tum kaesang resmi kantor dpd psi brebes giat sebut mas tum kata psi selalu dukung perintah prabowo subianto minta kader psi brebes menang paslon gubernur cawagub nomor ahmad,negative
terimakasih tuhan entah mengapa saya terharu dan bahagia melihat video ini dari tadi pagi @jokowi @kiyai_marufamin @prabowo @gibran_tweet #huttni79 https://t.co/gm9uhs0tnl,terimakasih tuhan entah haru bahagia lihat video tadi pagi marufamin tweet,positive
 karena fufufafa prabowo bisa ajukan pelengseran gibran setelah dilantik karena sikap tercelanya dan kapasitas dirinya.. menurut haris purwanto sejak awal prabowo gibran itu bukan untuk membangun bangsa tapi untuk kepentingan saja #jokowiharusdiadili #jokowiharusdiadili https://t.co/hhvt3hkoma,fufufafa prabowo aju lengser gibran lantik sikap cela kapasitas diri haris purwanto sejak awal prabowo gibran bukan bangun bangsa penting,positive
sentil fufufafa? prabowo sebut ada pihak suka caci-maki orang: nanti pasti ketahuan! - https://t.co/eavsn59fnj,sentil fufufafa prabowo sebut pihak suka cacimaki orang tahu,negative
kaesang buka suara soal peluangnya jadi menteri di kabinet prabowo https://t.co/mmubua3nsd https://t.co/pwuglb8umv,kaesang buka suara soal peluang jadi menteri kabinet prabowo,neutral
bivitri susanti... setidak etis itu pak jokowi wariskan banyak masalah ke pak prabowo.....‼️ #penjaramenantijokowi #penjaramenantijokowi 🆘🆗 https://t.co/isvaubm0ax,bivitri susanti tidak etis pak jokowi waris banyak masalah pak prabowo,negative
emang jenius ini coki pardede dan tretan muslim pak prabowo harus mengangkat mereka sebagai menteri keuangan agar utang negara kita lunas dalam 1 hari hirupppp coki tretan https://t.co/qt6iu1f9fd,emang jenius cok pardede tretan muslim pak prabowo angkat menteri uang utang negara lunas hari hirupppp cok tretan,positive
buat gue pilkada dki tahun ini indah banget jauh berbeda dibanding tahun 2017 lalu yg agak panas dan kasar antar pendukungnya. pilkada tahun ini relawan ndaru pengikut habib lutfi bin yahya sebagai pendukung prabowo gibran pas pilpres 2024 hari ini di pilkada dki relawan https://t.co/53za7u5wmh,buat gue pilkada dki tahun indah banget jauh beda banding tahun lalu yg panas kasar antar dukung pilkada tahun rawan ndaru ikut habib lutfi bin yahya dukung prabowo gibran pas pilpres hari pilkada dki rawan,positive
presiden terpilih prabowo subianto memberi sinyal tegas kepada para ketua umum partai politik dalam koalisi indonesia maju (kim). ia menegaskan agar mereka tidak mengirimkan calon menteri yang hanya mencari keuntungan pribadi. prabowo mengingatkan agar para menteri yang https://t.co/neby58qebd,presiden pilih prabowo subianto beri sinyal tegas ketua umum partai politik koalisi indonesia maju kim tegas kirim calon menteri cari untung pribadi prabowo ingat menteri,neutral
jokowi kemungkinan tak hadiri pelantikan prabowo-gibran https://t.co/5v8titcqcm,jokowi mungkin tak hadir lantik prabowogibran,negative
prabowo sedang sentil fufufafa? https://t.co/bmdaca5ysj,prabowo sedang sentil fufufafa,negative
prabocor.... begitu julukan orang-orang yang memelihara kebodohan dan kebencian pada pak prabowo subianto saat bicara tentang banyaknya kebocoran yang terjadi di negeri ini saat kampanye pilpres 2014. jgnkan sodaranya pendukungnya aja sakit hati dgn julukan tersebut. https://t.co/mx3x41l3oz,prabocor juluk orangorang pelihara bodoh benci pak prabowo subianto bicara banyak bocor jadi negeri kampanye pilpres jgnkan sodaranya dukung aja sakit hati dgn juluk sebut,negative
presiden joko widodo menegaskan dirinya tidak mengintervensi urusan menteri di kabinet prabowo subianto. https://t.co/roirjsnlxr,presiden joko widodo tegas diri intervensi urus menteri kabinet prabowo subianto,neutral
marak spanduk 'terima kasih jokowi selamat bekerja prabowo-gibran' pengamat: emas tetap emas https://t.co/5opg4umvwr,marak spanduk terima kasih jokowi selamat kerja prabowogibran amat emas tetap emas,positive
. kayaknya pak jokowi sdh membaca gelagat prabowo yg enggan melanjutkan legacy dari ambisi politiknya jokowi. makanya jokowi mengunci terlebih dulu langkah politiknya prabowo dgn bergegas meresmikan ikn. kayaknya prabowo &amp; keluarga besarnya jengkel banget deh sama fufufafa. . https://t.co/uemltydgxj,kayak pak jokowi sdh baca gelagat prabowo yg enggan lanjut legacy ambisi politik jokowi makanya jokowi kunci lebih dulu langkah politik prabowo dgn gegas resmi ikn kayak prabowo amp keluarga besar jengkel banget deh sama fufufafa,negative
beredar kabar kaesang jadi anggota kabinet di pemerintahan prabowo-gibran https://t.co/yvg9lmnyzi,edar kabar kaesang jadi anggota kabinet perintah prabowogibran,neutral
tegas..!! prabowo : saya bagian dari pak jokowi. presiden terpilih prabowo subianto memastikan dirinya adalah bagian dari presiden joko widodo kini tugasnya adalah melanjutkan semua hal baik yg sudah dibangun dalam 10 tahun kebelakang. serangan politik devide et impera https://t.co/ezzyufcgds,tegas prabowo bagi pak jokowi presiden pilih prabowo subianto pasti diri bagi presiden joko widodo kini tugas lanjut semua baik yg bangun tahun belakang serang politik devide et impera,positive
kita harus berani mengakui kekurangan yg disampaikan si mulut pedas sekalipun banyak kebocoran yg memiskinkan rakyat banyak modus2 korupsi di perizinan legalitas sertifikat hukum dll prabowo subianto @prabowo sosok lugas nahkoda indonesia 20/10/2024 -2029 https://t.co/q6tze6cf84,berani aku kurang yg sampai si mulut pedas sekalipun banyak bocor yg miskin rakyat banyak modus korupsi izin legalitas sertifikat hukum prabowo subianto sosok lugas nahkoda indonesia,negative
marak spanduk 'terima kasih jokowi selamat bekerja prabowo-gibran' pengamat: emas tetap emas https://t.co/onxihlj5o6,marak spanduk terima kasih jokowi selamat kerja prabowogibran amat emas tetap emas,positive
jokowi ngaku tak intervensi kabinet prabowo: meski makan malam 2 5 jam sein kiri belok kanan selalu kebalikan hasilnya kalau ngomong https://t.co/e2yhkhhf1b,jokowi ngaku tak intervensi kabinet prabowo meski makan malam jam sein kiri belok kanan selalu balik hasil kalau ngomong,negative
mayoritas warga jateng pilih tni dekat dengan rakyat yaitu pak andika perkasa bukan ladusing.. masih ladusing aja sombong !! tni jadi presiden terpilih kek pak @prabowo aja mau salaman ama pak @andikaperkasa02 . https://t.co/qboe2ux2x0,mayoritas warga jateng pilih tni dekat rakyat pak andika perkasa bukan ladusing ladusing aja sombong tni jadi presiden pilih kek pak aja mau salam ama pak,negative
prabowo akan bangun 15 juta rumah dalam 5 tahun bisa tercapai? https://t.co/wjsppy8qjg,prabowo bangun juta rumah tahun capai,neutral
jangan cuma hakim pak prabowo guru juga wajib diperhatikan karena guru jadi kunci utama kemajuan bangsa ke depannya terutama tolong perhatikan nasib guru honorer. https://t.co/fwz7gpbrpp,jangan cuma hakim pak prabowo guru wajib perhati guru jadi kunci utama maju bangsa depan utama perhati nasib guru honorer,neutral
sikap presiden jokowi &amp; presiden terpilih prabowo terhadap jend. tni (purn) try sutrisno wapres 1993-1998 p r a b o w o j o k o w i https://t.co/xpmskiaehp,sikap presiden jokowi amp presiden pilih prabowo jend tni purn try sutrisno wapres p r a b o w o j o k o w i,negative
prabowo-jokowi makan malem dan ngobrol 2 jam. topik obrolannya pasti seru sampai 2 jam ngobrolnya sambil ketawa-tawa. https://t.co/dvbgjehupa,prabowojokowi makan malem ngobrol jam topik obrol seru jam ngobrolnya ketawatawa,neutral
petinggi pks tiba di kertanegara disambut prabowo https://t.co/lqo4w3vokb,petinggi pks tiba kertanegara sambut prabowo,negative
 saksikan momen bersejarah! kami mengundang anda untuk menghadiri syukuran pelantikan prabowo-gibran sebagai presiden dan wakil presiden republik indonesia periode 2024-2029! lokasi: jl. sudirman - thamrin hari: minggu 20 oktober 2024 ⏰ waktu: 10.00 wib - selesai https://t.co/zicpfkzlrs,saksi momen sejarah undang hadir syukur lantik prabowogibran presiden wakil presiden republik indonesia periode lokasi jl sudirman thamrin hari minggu oktober waktu wib selesai,neutral
yang kenal bu megawati pasti percaya kalau pdi perjuangan tidak akan berkoalisi dengan pemerintahan prabowo.. sebagai teman baik bu megawati akan menjadi oposisi yang kuat untuk mengontrol pemerintahan prabowo.. https://t.co/kxwlfiu7uu,kenal bu megawati percaya kalau pdi juang koalisi perintah prabowo teman baik bu megawati jadi oposisi kuat kontrol perintah prabowo,positive
jimly tak ingin lagi ada pembubaran diskusi jelang pelantikan prabowo https://t.co/ob7bv1b68u,jimly tak bubar diskusi jelang lantik prabowo,negative
prabowo subianto mengaku dibantu jokowi dan timnya dalam menyusun kabinet https://t.co/zif8asys7r,prabowo subianto aku bantu jokowi tim susun kabinet,neutral
[full] prabowo: masih banyak anak-anak yang lapar berangkat sekolah tidak sarapan https://t.co/v2yrm79a3x,full prabowo banyak anakanak lapar berangkat sekolah sarap,neutral
prabowo disebut akan lebih sering diskusi dengan sby ketimbang gibran: pengetahuannya hanya sebatas solo https://t.co/8lyrg2wkd2,prabowo sebut lebih sering diskusi sby ketimbang gibran tahu batas solo,negative
gerindra memastikan surat keputusan presiden (keppres) soal pemindahan ibu kota nusantara (ikn) akan diteken presiden terpilih periode 2024-2025 prabowo subianto. hal ini juga telah dipastikan presiden joko widodo (jokowi). oh iya itu kan memang begitu (diteken prabowo) kata https://t.co/wkg7nlqnko,gerindra pasti surat putus presiden keppres soal pindah ibu kota nusantara ikn teken presiden pilih periode prabowo subianto pasti presiden joko widodo jokowi iya kan memang teken prabowo kata,neutral
gus yaqut mendapat dukungan dari 18 ormas termasuk generasi muda khonghucu (gemaku) untuk menjadi menteri pada pemerintahan prabowo. https://t.co/b4b0fpbxdp,gus yaqut dapat dukung ormas masuk generasi muda khonghucu gema jadi menteri perintah prabowo,neutral
gus imin @cakiminow : seluruh legislator pkb pusat sampai daerah optimis dan siap mensukseskan target pertumbuhan ekonomi hingga 8 % yg dicanangkan oleh presiden terpilih pak @prabowo https://t.co/59biwfxc75,gus imin seluruh legislator pkb pusat daerah optimis siap sukses target tumbuh ekonomi hingga yg canang presiden pilih pak,positive
dengar-dengar info sarimin ini gak kebagian kursi menteri ya? ya wajar sih saya juga bisa memahami alasan pak prabowo. secara si sarimin ini kan orangnya memang gak punya pendirian banget. khilaf-khilaf sarimin ini bisa jadi musuh dalam sarung. https://t.co/hv3aszku62,dengardengar info sarimin gak bagi kursi menteri wajar sih paham alas pak prabowo si sarimin kan orang memang gak punya diri banget khilafkhilaf sarimin jadi musuh sarung,negative
cak imin ngaku belum diajak prabowo bertemu bahas jatah menteri pkb di kabinet https://t.co/o0kpsczkfk nih ye.. https://t.co/hi4clwj3ko,cak imin ngaku ajak prabowo temu bahas jatah menteri pkb kabinet nih ye,neutral
habib umar alhamid: gibran duri dalam daging di pemerintahan prabowo https://t.co/jmaeed1eve,habib umar alhamid gibran duri daging perintah prabowo,positive
prabowo subianto: koalisi gemuk agar pemerintahan kuat... negara kita besar bung! https://t.co/fls0z0ufwz,prabowo subianto koalisi gemuk perintah kuat negara besar bung,neutral
prabowo didorong libatkan kpk jika bikin zaken kabinet https://t.co/czhknpmjat,prabowo dorong libat kpk bikin zaken kabinet,negative
prabowo jawab kritik soal buat kabinet gemuk: negara kita besar bung! https://t.co/kwjvvjectm,prabowo jawab kritik soal buat kabinet gemuk negara besar bung,neutral
juru bicara anies baswedan sahrin hamid menanggapi soal apakah mantan gubernur jakarta itu akan hadir pelantikan presiden terpilih prabowo subianto. pada pilpres 2024 lalu anies baswedan menjadi salah satu rival prabowo subianto. meski demikian menurut sahrin jika diundang https://t.co/7u8obi11wm,juru bicara anies baswedan sahrin hamid tanggap soal mantan gubernur jakarta hadir lantik presiden pilih prabowo subianto pilpres lalu anies baswedan jadi salah satu rival prabowo subianto meski sahrin undang,negative
keren qodari...berani 1 lawan 5 dari dulu pak prabowo mau ketemu mak banteng jual mahal...sekarang pak prabowo akan menjadi presiden ri 1 baru mau ketemu...nanti klo ketemu 1 piring nasi goreng mau minta byk jabatan https://t.co/diffdzopzb,keren qodariberani lawan dulu pak prabowo mau ketemu mak banteng jual mahalsekarang pak prabowo jadi presiden ri baru mau ketemunanti klo ketemu piring nasi goreng mau minta byk jabat,neutral
apa video prabowo dan gibran ini asli ges? https://t.co/o2kg1xvjmo,apa video prabowo gibran asli ges,neutral
selamat kepada bapak @prabowo sebagai presiden terpilih indonesia yang akan dilantik pada 20 oktober 2024. {sebuah utas singkat} https://t.co/nkwpexlxls,selamat bapak presiden pilih indonesia lantik oktober buah utas singkat,positive
jokowi tegaskan tak cawe-cawe soal menteri prabowo: tapi kalau ditanya ya saya jawab https://t.co/a2niony9fo,jokowi tegas tak cawecawe soal menteri prabowo kalau tanya jawab,negative
presiden @jokowi dan presiden terpilih @prabowo semalam berbincang santai sambil bersantap malam banyak hal didiskusikan selama 2 jam-an ini bukan tentang prabowo subianto juga bukan tentang jokowi tetapi tentang indonesia. tentang rakyat ! ini masa berat tapi percayalah https://t.co/cdqtiozvdy,presiden presiden pilih malam bincang santai santap malam banyak diskusi lama jaman bukan prabowo subianto bukan jokowi indonesia rakyat masa berat percaya,negative
presiden terpilih prabowo nampak makin mesra dengan wapresnya gibran saat hadir di acara peringatan ke 79 tni mematahkan isu pecah kongsi. setelah pelantikan presiden dan wapres akan punya tugas masing masing. jadi kalau nanti mereka sendiri sendiri jangan bikin isu yang https://t.co/gkyuar9qvh,presiden pilih prabowo nampak makin mesra wapresnya gibran hadir acara ingat tni patah isu pecah kongsi lantik presiden wapres punya tugas masing masing jadi kalau sendiri sendiri jangan bikin isu,negative
babe haikal nilai prabowo seperti nabi ibraham ketika menghadapi raja namrud https://t.co/ktqcvnmhel,babe haikal nilai prabowo nabi ibraham hadap raja namrud,negative
presiden terpilih prabowo subianto berencana mengubah skema subsidi dari awalnya berbasis barang menjadi tertutup alias langsung dikirimkan kepada penerima yang berhak. #bisnisupdate #update #bisnis #ignews https://t.co/yltpo6t99c,presiden pilih prabowo subianto rencana ubah skema subsidi awal bas barang jadi tutup alias langsung kirim terima hak,negative
pak @prabowo kayak jijik gitu dekat2 fufufafa yang menghina dirinya anaknya dan mantan istrinya.. https://t.co/1kvpver4mz,pak kayak jijik gitu dekat fufufafa hina diri anak mantan istri,neutral
jokowi dan prabowo mendadak lakukan pertemuan tertutup di solo https://t.co/wygnpjn8zw https://t.co/5qzenkhrw0,jokowi prabowo dadak laku temu tutup solo,negative
peringatan prabowo ke semua partai koalisi: menteri jangan cari uang dari apbn-apbd https://t.co/jpka9ctfkl,ingat prabowo semua partai koalisi menteri jangan cari uang apbnapbd,positive
prabowo ingatkan ketum parpol tak suruh menteri cari uang dari apbn efektif cegah korupsi? https://t.co/s1fefecr0k,prabowo ingat tum parpol tak suruh menteri cari uang apbn efektif cegah korupsi,neutral
pkb cemas tak dapat menteri di kabinet prabowo cak imin: jangankan bahas ketemu aja nggak pernah https://t.co/qhicxkbzki,pkb cemas tak menteri kabinet prabowo cak imin jangan bahas ketemu aja pernah,neutral
gibran sebut akan makan siang bersama jokowi dan prabowo di solo https://t.co/ytfeaaw8qb,gibran sebut makan siang sama jokowi prabowo solo,negative
terjadi kontak senjata api saat pelantikan grib jaya (ormas hercules sayap prabowo) di medan satu2nya ormas kuat yg merasa terganggu adalah pp dari keluarga shah. jika ormas pp di medan yg sdh jadi mafia &amp; penguasa dan tdk bisa dibasmi oleh pemerintah maka grib jaya diperlukan https://t.co/rgeypgypyf,jadi kontak senjata api lantik grib jaya ormas hercules sayap prabowo medan satu ormas kuat yg rasa ganggu pp keluarga shah ormas pp medan yg sdh jadi mafia amp kuasa tdk basmi perintah grib jaya perlu,negative
masih ngantuk? kalah segar ma yg lebih berumur pak @prabowo dan pak @kiyai_marufamin moga sehat slalu. amien yra https://t.co/cwwp3sxn6f,ngantuk kalah segar ma yg lebih umur pak pak marufamin moga sehat slalu amien yra,positive
prabowo temui jokowi di solo ada apa? https://t.co/r5v60zii1g,prabowo temu jokowi solo apa,negative
pelantikan prabowo-gibran itu pagi hari tanggal 20 okt sore saya pulang ke solo tidur judul berita : jokowi tidak hadir pelantikan prabowo-gibran pinter mancing pak jokowi ini buat nangkep ikan wkwk https://t.co/bltzbkvcp5,lantik prabowogibran pagi hari tanggal okt sore pulang solo tidur judul berita jokowi hadir lantik prabowogibran pinter mancing pak jokowi buat nangkep ikan wkwk,neutral
 jokowi adalah puncak kejahatan. kejahatan jokowi menjadi beban bagi prabowo. ketidaktaatan jokowi pada hukum menimbulkan defisit anggaran kerusakan lingkungan rusaknya kehangatan bernegara dll (rg) #jokowitakutdilengserkan #jokowitakutdilengserkan https://t.co/bqzpit3lo2,jokowi puncak jahat jahat jokowi jadi beban prabowo ketidaktaatan jokowi hukum timbul defisit anggar rusa lingkung rusak hangat negara rg,negative
. * atraksi the prabowo show dari psi..!!!* seperti inilah : *penampakan dan kelakuan para penjilat itu.* mereka : *gemar memutar balikan kata dengan cara menjadi penjilat demi mengharapkan jabatan.* https://t.co/fgfaiqhp1x,atraksi the prabowo show psi ini tampak laku jilat gemar putar balik kata cara jadi jilat harap jabat,positive
prabowo bakal sulit mengistirahatkan jokowi https://t.co/grcugddtpq,prabowo bakal sulit istirahat jokowi,negative
ketua bwi sebut wakaf bisa bantu program makan bergizi gratis prabowo-gibran https://t.co/lvvwvjla0j,ketua bwi sebut wakaf bantu program makan gizi gratis prabowogibran,neutral
bocoran kabinet prabowo-gibran: ada 46 kementerian https://t.co/zrx5oxyxfc,bocor kabinet prabowogibran menteri,neutral
gus yahya sebut kader nu siap untuk masuk dalam pemerintahan prabowo. https://t.co/sjfkze2gh8,gus yahya sebut kader nu siap masuk perintah prabowo,negative
soal kabinet gemuk prabowo: negara kita besar bung! https://t.co/alakuwdy1f,soal kabinet gemuk prabowo negara besar bung,neutral
awokawokwokwok.... prabowo yang mau dijadikan kambing hitam kah...? https://t.co/jiahybobxl https://t.co/ree3h5kzlm,awokawokwokwok prabowo mau jadi kambing hitam,negative
kadang sedih dan kepikiran juga bila nanti may ted sudah tidak bersama dan menjaga ayah prabowo ... memang luar.biasa ... https://t.co/tfsehbvrrm,kadang sedih pikir bila may ted sama jaga ayah prabowo memang luarbiasa,negative
pesan sby ke prabowo: jangan takut untuk dikritik jangan kayak pemerintahan pak jokowi dikit-dikit ditangkap dipenjara dengan pasal karet ite https://t.co/irgqova54m,pesan sby prabowo jangan takut kritik jangan kayak perintah pak jokowi dikitdikit tangkap penjara pasal karet ite,negative
jokowi dan prabowo mendadak gelar pertemuan tertutup di solo ada apa? https://t.co/cgdeasethk,jokowi prabowo dadak gelar temu tutup solo apa,negative
jokowi bilang kemungkinan tidak hadir saat pelantikan prabowo di senayan https://t.co/jswjab0mnm,jokowi bilang mungkin hadir lantik prabowo senayan,negative
luhut mengaku sudah melapor soal cara meningkatkan penerimaan negara kepada presiden terpilih prabowo subianto. https://t.co/laks47tprn,luhut aku lapor soal cara tingkat terima negara presiden pilih prabowo subianto,negative
prabowo sentil keras tukang caci maki: tidak lama lagi akan terbukti https://t.co/gyfemjhbbp,prabowo sentil keras tukang caci maki lama bukti,negative
trimakasih jokowi.. yg telah memberikan pelajaran pada kami utk tidak mudah percaya dg penampilan seseorang 10 tahun kami mendukung dg segala suka dukanya inilah yg kau persembahkan diakhir masa jabatannya pada kami - - bahrain prabowo minggu https://t.co/ozkipcqbez,trimakasih jokowi yg beri ajar utk mudah percaya dg tampil orang tahun dukung dg segala suka duka ini yg kau sembah akhir masa jabat bahrain prabowo minggu,positive
entah kenapa belakangan banyak sekali pihak yang gencar menyampaikan narasi sesat bahwa hubungan pak jokowi dan pak prabowo sedang tidak baik-baik saja. padahal mereka berdua tokoh bangsa yang saling menghormati dan menyayangi. terima kasih untuk penjelasannya bro @uki23. https://t.co/ykzczejdzo,entah belakang banyak sekali pihak gencar sampai narasi sesat hubung pak jokowi pak prabowo sedang baikbaik padahal dua tokoh bangsa saling hormat sayang terima kasih jelas bro,negative
min... sarimin lue tuh makin kesini makin kesana aja perilakumu dah malak minta jatah menteri pdhl tak mendukung wkt pilpres kmrn ke pak @prabowo eh sekarang minta beliau naikkan biaya perjalanan dinas dprd... harusnya lue itu mikirin rakyat miskin bukan anggota dprd yg sdh tajir https://t.co/hmunixfjho,min sarimin lue tuh makin kesini makin kesana aja perilaku dah malak minta jatah menteri pdhl tak dukung wkt pilpres kmrn pak eh sekarang minta beliau naik biaya jalan dinas dprd harus lue mikirin rakyat miskin bukan anggota dprd yg sdh tajir,negative
pertemuan 90 menit jokowi prabowo dan gibran di solo #newsupdate #update #news #text https://t.co/zqe5x9fwwl,temu menit jokowi prabowo gibran solo,negative
prabowo temui jokowi di solo ada apa? https://t.co/zaafvgegtl,prabowo temu jokowi solo apa,negative
masyarakat adat turun ke jalan suarakan 11 dosa jokowi yang mesti 'dicuci' prabowo https://t.co/cne04hetwi,masyarakat adat turun jalan suara dosa jokowi mesti cuci prabowo,negative
setelah baca berita ini satu kata unk pkb @cakiminow mampus!!! politisi bermuka dua gila jabatan mana ada yg mau berkoalisi lg. pkb cemas tak dapat menteri di kabinet prabowo cak imin: jangankan bahas ketemu aja nggak pernah. https://t.co/mayxr0ctjq https://t.co/vyx6btgfss,baca berita satu kata unk pkb mampus politis muka gila jabat mana yg mau koalisi lg pkb cemas tak menteri kabinet prabowo cak imin jangan bahas ketemu aja pernah,negative
prabowo katakan kepada partai : jangan menugaskan menteri untuk cari uang dari apbn. dengan tegas presiden terpilih prabowo subianto mengingatkan kepada partai politik dalam koalisinya agar tidak menugaskan seorang menteri untuk mencari uang dari apbn. ketua umum partai https://t.co/3ifar29w4t,prabowo kata partai jangan tugas menteri cari uang apbn tegas presiden pilih prabowo subianto ingat partai politik koalisi tugas orang menteri cari uang apbn ketua umum partai,negative
suara rakyat resah kepada presidennya @prabowo https://t.co/g0lfpaeusn,suara rakyat resah presiden,negative
 pulang ke solo dahulu tidur ucap presiden jokowi. https://t.co/f45049zr6i,pulang solo tidur ucap presiden jokowi,negative
bantu ketahanan pangan prabowo akan dicetak 1.000 sarjana pertanian https://t.co/h4a66g2g7a,bantu tahan pangan prabowo cetak sarjana tani,positive
prabowo subianto merencanakan mengubah subsidi bbm menjadi blt agar lebih tepat sasaran untuk masyarakat miskin. https://t.co/jnx6ezhmap,prabowo subianto rencana ubah subsidi bbm jadi blt lebih tepat sasar masyarakat miskin,negative
ikn jokowi buang badan ke prabowo jokowi menjilat air ludah sendiri https://t.co/vipq0y9nwy,ikn jokowi buang badan prabowo jokowi jilat air ludah sendiri,negative
bapak @prabowo selalu ekspresif jika di depan rakyat. masya allah ﷻ 🇲🇨🇲🇨 https://t.co/k43kecxybc,bapak selalu ekspresif depan rakyat masya allah,positive
sindir fufufafa? prabowo: caci maki itu tak baik semua yang berbuat tak baik bakal ketahuan https://t.co/8ase7qc27h,sindir fufufafa prabowo caci maki tak baik semua buat tak baik bakal tahu,negative
prabowo bakal rekrut menteri era jokowi yang berkinerja baik https://t.co/garyyebfbl,prabowo bakal rekrut menteri era jokowi kerja baik,neutral
gibran udah muncul juga masih ad suara sumbang tuh gibran -prabowo pecah kongsi lihat gibran dibelakang ga jalan disamping prabowo pdahal maruf wapres aja di depan ya segitunya niat mau devide et impera ga lihat samping kanan prabowo udah mentok karangan bunga. https://t.co/jjaw8smtsk,gibran udah muncul ad suara sumbang tuh gibran prabowo pecah kongsi lihat gibran belakang ga jalan samping prabowo pdahal maruf wapres aja depan segitunya niat mau devide et impera ga lihat samping kanan prabowo udah mentok karang bunga,negative
standing applause dan rasa penuh haru mewarnai agenda audiensi solidaritas hakim indonesia hari ini. perjuangan para hakim disambut baik oleh pimpinan dpr ri dan direspon langsung oleh pak prabowo. #habiburokhmandprri #gerindra https://t.co/0fcwpg7exc,standing applause rasa penuh haru warna agenda audiensi solidaritas hakim indonesia hari juang hakim sambut baik pimpin dpr ri direspon langsung pak prabowo,positive
podcast adu domba kata prabowo. udah disenggol tipis2 nih sama presiden ke 8 kita. gw demen nih. prabowo tidak sekalem jokowi lho ya. tihati aje loe pada.. https://t.co/wrtimc9fra,podcast adu domba kata prabowo udah senggol tipis nih sama presiden gw demen nih prabowo kalem jokowi lho tihati aje loe,negative
poltracking dki dgn angka masuk 99% lbh anies kalah dr prabowo. bener2 underperform utk mantan gubernur yg maha hebat. https://t.co/3rjcbgqom7,poltracking dki dgn angka masuk lbh anies kalah dr prabowo bener underperform utk mantan gubernur yg maha hebat,positive
dkpp memutuskan para anggota kpu ri melakukan pelanggaran etik karena meloloskan paslon 02 prabowo-gibran. tapi spt halnya putusan mahkamah kehormatan mk putusan ini tdk mengugurkan pencalonan paslon 02. dagelan republik yg bertentangan dg akal waras kita semua https://t.co/pawy0z9odb,dkpp putus anggota kpu ri laku langgar etik lolos paslon prabowogibran spt hal putus mahkamah hormat mk putus tdk mengugurkan calon paslon dagel republik yg tentang dg akal waras semua,positive
poltracking utk dki. bahkan anies kalah oleh prabowo. padahal katanya waktu anies jadi gubernur prestasinya amazing bin excellent. tp warga dki ternyata nggak sependapat. https://t.co/vniourhck7,poltracking utk dki bahkan anies kalah prabowo padahal kata waktu anies jadi gubernur prestasi amazing bin excellent tp warga dki nyata dapat,positive
jangan ajari kami mencintai pak prabowo. jauh sebelum kalian menghina pak prabowo dgn sebutan gemoy kami sejak 2014 tidak pernah berani keluarkan 1 istilah apapun utk mengantikan nama besar beliau dgn istilah berbau fisik seperti gemoy. kemana kalian saat itu sedang asik https://t.co/qv62bmrmzx,jangan ajar cinta pak prabowo jauh kalian hina pak prabowo dgn sebut gemoy sejak pernah berani keluar istilah apa utk anti nama besar beliau dgn istilah bau fisik gemoy kalian sedang asik,negative
setelah nonton debat aku chat adikku seperti di bawah ini dengan konteks: 1. adikku gen z pengguna tiktok yang tersihir gemoy prabowo 2. bapak dikriminalisasi karena belain petani di lampung vonis 1 5 tahun penjara di era rezim jokowi https://t.co/crmjxyzjau,nonton debat aku chat adik bawah konteks adik gen z guna tiktok sihir gemoy prabowo bapak kriminalisasi bain tani lampung vonis tahun penjara era rezim jokowi,positive
jangan terpedaya prabowo soal palestina. abu janda yang membela israel sampe berbusa-busa masih ada di sana. https://t.co/gk41putxiy,jangan daya prabowo soal palestina abu janda bela israel sampe berbusabusa sana,negative
